Team,No,Player_Name,Games_Played,Goals,Assists,Points
Вашингтон,6,Винсент Иорио,6,0,0,0
Вашингтон,72,Пьеррик Дюбе,3,0,0,0
Вашингтон,91,Джо Снайвли,3,0,0,0
Айлендерс,8,Ноа Добсон,79,10,60,70
Айлендерс,6,Райан Пулок,58,5,14,19
Айлендерс,28,Александр Романов,81,7,15,22
Айлендерс,3,Адам Пелек,58,1,15,16
Айлендерс,13,Мэтью Барзэл,80,23,57,80
Айлендерс,14,Бо Хорват,81,33,35,68
Айлендерс,24,Скотт Мэйфилд,41,0,5,5
Айлендерс,29,Брок Нелсон,82,34,35,69
Айлендерс,2,Майк Райлли,59,6,18,24
Айлендерс,21,Кайл Палмиери,82,30,24,54
Айлендерс,–,Себастьян Ао,58,2,7,9
Айлендерс,44,Жан-Габриель Пажо,82,11,21,32
Айлендерс,27,Андерс Ли,81,20,17,37
Айлендерс,18,Пьерр Энгвалл,74,10,18,28
Айлендерс,41,Роберт Бортуццо,23,0,0,0
Айлендерс,37,Руслан Исхаков,1,0,1,1
Айлендерс,53,Кейси Сизикас,70,10,13,23
Айлендерс,10,Симон Хольмстрем,75,15,10,25
Айлендерс,4,Самуэль Болдук,34,2,3,5
Айлендерс,20,Хадсон Фашинг,45,4,10,14
Айлендерс,15,Кэл Клаттербак,82,7,12,19
Айлендерс,26,Оливер Вальстром,32,2,4,6
Айлендерс,16,Жюльен Готье,27,5,4,9
Айлендерс,32,Кайл Маклин,32,4,5,9
Айлендерс,17,Мэтт Мартин,57,4,4,8
Айлендерс,7,Грант Хаттон,2,0,0,0
Тампа-Бэй,77,Виктор Хедман,78,13,63,76
Тампа-Бэй,–,Михаил Сергачев,34,2,17,19
Тампа-Бэй,86,Никита Кучеров,81,44,100,144
Тампа-Бэй,21,Брэйден Пойнт,81,46,44,90
Тампа-Бэй,38,Брэндон Хэйгл,82,26,49,75
Тампа-Бэй,81,Эрик Чернак,69,2,11,13
Тампа-Бэй,43,Даррен Рэддиш,82,6,27,33
Тампа-Бэй,–,Мэтт Дамба,18,0,2,2
Тампа-Бэй,71,Энтони Сирелли,79,20,25,45
Тампа-Бэй,–,Стивен Стэмкос,79,40,41,81
Тампа-Бэй,20,Ник Пол,82,24,22,46
Тампа-Бэй,48,Ник Пербикс,77,2,22,24
Тампа-Бэй,–,Келвин де Хаан,59,3,7,10
Тампа-Бэй,78,Эмиль Мартинсен Лиллеберг,37,0,5,5
Тампа-Бэй,–,Хэйдн Флери,24,1,4,5
Тампа-Бэй,–,Энтони Дюклер,17,8,7,15
Тампа-Бэй,65,Максвелл Крозье,13,0,2,2
Тампа-Бэй,–,Тайлер Мотт,69,6,3,9
Тампа-Бэй,84,Таннер Жанно,55,7,7,14
Тампа-Бэй,–,Зак Богосян,4,0,0,0
Тампа-Бэй,23,Мики Эйссимонт,81,11,14,25
Тампа-Бэй,–,Филипп Майерс,5,0,0,0
Тампа-Бэй,–,Джек Томпсон,1,0,0,0
Тампа-Бэй,11,Люк Гленденинг,81,10,1,11
Тампа-Бэй,67,Деклан Карлайл,1,0,0,0
Тампа-Бэй,41,Митчелл Чаффи,30,4,3,7
Тампа-Бэй,–,Алекс Барре-Буле,36,6,3,9
Тампа-Бэй,73,Конор Шири,57,4,11,15
Тампа-Бэй,93,Гейдж Гонсалвеш,2,0,0,0
Тампа-Бэй,39,Вальтери Мереля,19,1,0,1
Тампа-Бэй,51,Остин Уотсон,33,2,2,4
Тампа-Бэй,45,Коул Кепке,9,0,2,2
Торонто,44,Морган Райлли,72,7,51,58
Торонто,–,Ти Джей Броди,78,1,25,26
Торонто,16,Митч Марнер,69,26,59,85
Торонто,34,Остон Мэттьюс,81,69,38,107
Торонто,22,Джейк Маккейб,73,8,20,28
Торонто,3,Джон Клингберг,14,0,5,5
Торонто,88,Вильям В. Нюландер,82,40,58,98
Торонто,37,Тимоти Лильегрен,55,3,20,23
Торонто,91,Джон Таварес,80,29,36,65
Торонто,–,Джоэл Эдмундсон,9,0,0,0
Торонто,2,Симон Бенуа,64,1,4,5
Торонто,–,Илья Любушкин,19,0,4,4
Торонто,55,Марк Джиордано,46,3,6,9
Торонто,–,Тайлер Бертуцци,80,21,22,43
Торонто,25,Конор Тимминс,25,1,9,10
Торонто,19,Калле Йернкрук,52,10,11,21
Торонто,–,Виллиам Лагессон,30,0,4,4
Торонто,11,Макс Доми,80,9,38,47
Торонто,23,Мэттью Найз,80,15,20,35
Торонто,64,Давид Кемпф,78,8,11,19
Торонто,24,Коннор Дьюар,17,1,4,5
Торонто,48,Максим Лажойе,7,0,1,1
Торонто,83,Маршалл Рифаи,2,0,0,0
Торонто,29,Понтус Хольмберг,54,7,10,17
Торонто,74,Бобби Макмэнн,56,15,9,24
Торонто,39,Фрэйзер Минтен,4,0,0,0
Торонто,–,Ноа Грегор,63,6,6,12
Торонто,89,Ник Робертсон,56,14,13,27
Торонто,–,Алекс Стивс,1,0,0,0
Торонто,75,Райан Ривс,49,4,2,6
Бостон,73,Чарли Макэвой,74,12,36,48
Бостон,27,Хампус Линдхольм,73,3,23,26
Бостон,25,Брэндон Карло,76,4,10,14
Бостон,88,Давид Пастрняк,82,47,63,110
Бостон,63,Брэд Маршанд,82,29,38,67
Бостон,18,Павел Заха,78,21,38,59
Бостон,13,Чарли Койл,82,25,34,59
Бостон,–,Дерек Форборт,35,0,4,4
Бостон,29,Паркер Уозерспун,41,0,8,8
Бостон,–,Мэтт Гжельчик,63,2,9,11
Бостон,52,Эндрю Пик,15,0,2,2
Бостон,6,Мэйсон Лорей,41,4,9,13
Бостон,–,Джейк Дебраск,80,19,21,40
Бостон,12,Кевин Шаттенкирк,61,6,18,24
Бостон,39,Морган Гики,76,17,22,39
Бостон,14,Иэн Митчелл,13,0,2,2
Бостон,–,Патрик Марун,2,0,0,0
Бостон,–,Дэнтон Хейнен,74,17,19,36
Бостон,11,Трент Фредерик,82,18,22,40
Бостон,21,Джеймс ван Римсдайк,71,11,27,38
Бостон,51,Мэттью Пойтрас,33,5,10,15
Бостон,26,Марк Маклафлин,1,1,0,1
Бостон,17,Милан Лучич,4,0,2,2
Бостон,20,Джейсон Мегна,1,0,0,0
Бостон,–,Йеспер Боквист,47,6,8,14
Бостон,55,Джастин Брэзо,19,5,2,7
Бостон,19,Джон Бичер,52,7,3,10
Бостон,90,Энтони Ришар,9,1,2,3
Бостон,42,Георгий Меркулов,4,0,0,0
Бостон,–,Якуб Лауко,60,2,8,10
Бостон,62,Оскар Стен,34,1,0,1
Бостон,38,Патрик Браун,11,0,1,1
Флорида,–,Брэндон Монтур,66,8,26,34
Флорида,42,Густав Форслинг,79,10,29,39
Флорида,5,Аарон Экблад,51,4,13,17
Флорида,13,Сэм Райнхарт,82,57,37,94
Флорида,77,Нико Миккола,82,3,14,17
Флорида,16,Александр Барков,73,22,57,79
Флорида,19,Мэттью Ткачак,80,26,62,88
Флорида,–,Оливер Экман-Ларссон,80,9,23,32
Флорида,23,Картер Верхэге,76,35,37,72
Флорида,2,Тобиас Бьорнфут,1,0,0,0
Флорида,9,Сэм Беннетт,69,20,21,41
Флорида,7,Дмитрий Куликов,76,1,19,20
Флорида,27,Ээту Луостаринен,82,12,15,27
Флорида,15,Антон Лунделль,78,13,22,35
Флорида,17,Эван Родригес,80,12,27,39
Флорида,–,Владимир Тарасенко,19,6,8,14
Флорида,–,Майк Райлли,2,0,0,0
Флорида,26,Увис Балинскис,26,1,2,3
Флорида,28,Джош Махура,30,0,9,9
Флорида,–,Кевин Стенлунд,81,11,4,15
Флорида,21,Ник Казинс,69,7,8,15
Флорида,25,Маки Самоскевич,7,0,0,0
Флорида,8,Кайл Окпосо,6,0,0,0
Флорида,–,Райан Ломберг,75,5,2,7
Флорида,24,Джастин Сурдиф,3,0,0,0
Флорида,18,Стивен Лоренц,38,1,2,3
Флорида,67,Уилл Локвуд,26,0,1,1
Флорида,12,Джона Гаджович,39,2,2,4
Каролина,8,Брент Бернс,82,10,33,43
Каролина,–,Брэди Шей,80,13,34,47
Каролина,74,Джейккоб Слэвин,81,6,31,37
Каролина,–,Бретт Пеши,70,3,11,14
Каролина,20,Себастьян Ахо,78,36,53,89
Каролина,29,Брэдли Надо,1,0,0,0
Каролина,24,Сет Джарвис,81,33,34,67
Каролина,56,Скотт Морроу,2,0,0,0
Каролина,–,Дилан Кохлан,1,0,0,0
Каролина,–,Джейк Генцел,17,8,17,25
Каролина,88,Мартин Нечас,77,24,29,53
Каролина,7,Дмитрий Орлов,82,6,20,26
Каролина,37,Андрей Свечников,59,19,33,52
Каролина,–,Теуво Терявяйнен,76,25,27,52
Каролина,11,Джордан Дж.Стаал,80,10,20,30
Каролина,53,Джексон Блэйк,1,0,0,0
Каролина,5,Джэйлен Чэтфилд,72,8,14,22
Каролина,–,Майкл Бантинг,60,13,23,36
Каролина,92,Евгений Кузнецов,20,2,5,7
Каролина,48,Джордан Мартинук,82,14,18,32
Каролина,77,Энтони Деанджело,31,3,8,11
Каролина,–,Максим Комтуа,1,0,1,1
Каролина,82,Йеспери Котканиеми,79,12,15,27
Каролина,71,Йеспер Фаст,73,6,13,19
Каролина,18,Джек Друри,74,8,19,27
Каролина,–,Стефан Ноусен,81,14,23,37
Каролина,–,Василий Пономарев,2,1,1,2
Каролина,28,Брендан Лемье,32,3,2,5
Каролина,68,Каллахан Бурк,1,0,0,0
